ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date
ALX,3499,Alexanders Inc,6798,109001,NYSE,19/07/1984,31/12/9998
ALXN,899866,Alexion Pharmaceuticals Inc,2834,106002,NASDAQ,28/02/1996,31/12/9998
AMAG,792977,AMAG Pharmaceuticals Inc,2834,999999,NASDAQ,12/06/1986,31/12/9998
AMAT,6951,Applied Materials Inc,3674,101004,NASDAQ,07/09/1984,31/12/9998
AMBA,1280263,Ambarella Inc,3674,101004,NASDAQ,10/10/2012,31/12/9998
AMBC,874501,Ambac Financial Group Inc,6351,999999,NYSE,01/05/2013,31/12/9998
AMC,1411579,AMC Entertainment Holdings Inc - Class A,7830,999999,NYSE,18/12/2013,31/12/9998
AMCX,1514991,AMC Networks Inc,4841,103001,NASDAQ,16/06/2011,31/12/9998
AMD,2488,Advanced Micro Devices Inc,3674,101004,NASDAQ,21/03/1983,31/12/9998
AME,1037868,AMETEK Inc,3621,100001,NYSE,19/07/1984,31/12/9998
AMED,896262,Amedisys Inc,8082,106011,NASDAQ,18/08/1994,31/12/9998
AMG,1004434,Affiliated Managers Group Inc,6282,104001,NYSE,21/11/1997,31/12/9998
AMGN,318154,Amgen Inc,2836,106002,NASDAQ,07/09/1984,31/12/9998
AMH,1562401,American Homes 4 Rent Class A,6798,109001,NYSE,01/08/2013,31/12/9998
AMKR,1047127,Amkor Technology Inc,3674,101004,NASDAQ,01/05/1998,31/12/9998
AMN,1142750,AMN Healthcare Services Inc,7363,100011,NYSE,13/11/2001,31/12/9998
AMOT,46129,Allied Motion Technologies Inc,3825,101001,NASDAQ,25/02/1992,31/12/9998
AMP,820027,Ameriprise Financial Inc,6282,104001,NYSE,15/09/2005,31/12/9998
AMRK,1591588,AMark Precious Metals Inc,5094,104003,NASDAQ,17/03/2014,31/12/9998
AMRX,1723128,Amneal Pharmaceuticals Inc Class A,2834,999999,NYSE,15/01/2009,31/12/9998
AMSC,880807,American Superconductor Corp,3621,101001,NASDAQ,12/12/1991,31/12/9998
AMSF,1018979,Amerisafe Inc,6331,104006,NASDAQ,18/11/2005,31/12/9998
AMSWA,713425,American Software Inc,7372,101003,NASDAQ,07/09/1984,31/12/9998
AMT,1053507,American Tower Corp,6798,108001,NYSE,27/02/1998,31/12/9998
AMTD,1173431,TD Ameritrade Holding Corp,6211,104003,NASDAQ,04/03/1997,31/12/9998
AMWD,794619,American Woodmark Corp,2430,103004,NASDAQ,21/07/1986,31/12/9998
AMZN,1018724,Amazoncom Inc,5961,103002,NASDAQ,15/05/1997,31/12/9998
AN,350698,AutoNation Inc,5500,103005,NYSE,03/03/1992,31/12/9998
ANAB,1370053,AnaptysBio Inc,2834,999999,NASDAQ,26/01/2017,31/12/9998
ANAT,904163,American National Group Inc,6311,104004,NASDAQ,07/09/1984,31/12/9998
ANDE,821026,The Andersons Inc,5150,102001,NASDAQ,20/02/1996,31/12/9998
ANDV,50104,Andeavor Corp,2911,107001,NYSE,06/04/1983,28/09/2018
ANDX,1507615,Andeavor Logistics LP representing Limited Partner Interests,4610,107003,NYSE,20/04/2011,07/08/2019
ANET,1596532,Arista Networks Inc,3576,101001,NYSE,06/06/2014,31/12/9998
ANF,1018840,Abercrombie Fitch Company,5651,103002,NYSE,26/09/1996,31/12/9998
ANGI,1705110,ANGI Homeservices Inc Class A,7310,101002,NASDAQ,17/11/2011,31/12/9998
ANGO,1275187,Angiodynamic Inc,3841,999999,NASDAQ,01/06/2004,31/12/9998
ANIK,898437,Anika Therapeutics Inc,3841,106002,NASDAQ,04/05/1993,31/12/9998
ANSS,1013462,ANSYS Inc,7372,101003,NASDAQ,21/06/1996,31/12/9998
ANTM,1156039,Anthem Inc,6324,106006,NYSE,02/01/2001,31/12/9998
AOBC,1092796,NVS,3480,100008,NVS,01/01/1900,01/01/1900
AON,315293,Aon plc,6411,104003,NYSE,07/09/1984,31/12/9998
AOS,91142,AO Smith Corp,3630,100001,NYSE,07/09/1984,31/12/9998
AOSL,1387467,Alpha & Omega Semiconductor Ltd,3674,101004,NASDAQ,29/04/2010,31/12/9998
APA,6769,Apache Corp,1311,107002,NYSE,15/05/1979,31/12/9998
APAM,1517302,Artisan Partners Asset Management Inc,6282,999999,NYSE,07/03/2013,31/12/9998
APC,773910,Anadarko Petroleum Corp,1311,107002,NYSE,09/09/1986,08/08/2019
APD,2969,Air Products Chemicals Inc,2810,110001,NYSE,06/04/1983,31/12/9998
APH,820313,Amphenol Corp,3678,101001,NYSE,08/11/1991,31/12/9998
APLE,1418121,Apple Hospitality REIT Inc,6798,109001,NYSE,18/05/2015,31/12/9998
APO,1411494,Apollo Global Management LLC,6282,999999,NYSE,30/03/2011,31/12/9998
APOG,6845,Apogee Enterprises Inc,3231,110005,NASDAQ,03/05/1973,31/12/9998
APOL,929887,Apollo Education Group Inc,8200,999999,NASDAQ,04/01/2016,09/02/2017
APPF,1433195,AppFolio Inc,7372,101003,NASDAQ,26/06/2015,31/12/9998
APPN,1441683,Appian Corp Class A,7372,999999,NASDAQ,25/05/2017,31/12/9998
APRN,1701114,Blue Apron Inc,5961,103002,NYSE,29/06/2017,31/12/9998
APTI,1419625,Crown City Pictures Inc,7372,101003,NASDAQ,23/09/2016,10/01/2019
APTV,1521332,Aptiv PLC,3714,103005,NYSE,17/11/2011,31/12/9998
APU,932628,AmeriGas Partners LP,5990,105001,NYSE,12/04/1995,21/08/2019
AR,1433270,Antero Resources Corp,1311,107002,NYSE,10/10/2013,31/12/9998
ARA,1498068,ARACRUZ CELLULOSE S A,8090,106001,NYSE,21/04/2016,31/12/9998
ARAY,1138723,Accuray Inc,3841,106004,NASDAQ,08/02/2007,31/12/9998
ARCB,894405,ArcBest Corp,4213,100010,NASDAQ,13/05/1992,31/12/9998
ARCW,9000010,NVS,9999,100001,NVS,01/01/1900,01/01/1900
ARE,1035443,Alexandria Real Estate Equities Inc,6798,109001,NYSE,28/05/1997,31/12/9998
ARES,1176948,Ares Management LP,6282,999999,NYSE,02/05/2014,31/12/9998
AREX,1405073,NVS,1311,999999,NVS,01/01/1900,01/01/1900
ARG,804212,Airgas Inc,9999,110001,NYSE,22/12/1986,31/05/2016
ARGO,1091748,Argo Group International Holdings Ltd,6361,999999,NYSE,07/08/2007,31/12/9998
ARI,1467760,Apollo Commercial Real Estate Finance Inc,6798,109001,NYSE,24/09/2009,31/12/9998
ARLP,1086600,Alliance Resource Partners LP,1221,110006,NASDAQ,17/08/1999,31/12/9998
ARMK,1584509,Aramark,5812,103003,NYSE,12/12/2013,31/12/9998
ARMK_old,1584509,NVS,9999,103003,NVS,01/01/1900,01/01/1900
ARNA,1080709,Arena Pharmaceuticals Inc,2834,106002,NASDAQ,28/07/2000,31/12/9998
ARNC,4281,Arconic Corp,3350,100001,NYSE,01/04/2020,31/12/9998
ARO,9000012,Aeropostale Inc,9999,999999,NYSE,16/05/2002,21/04/2016
AROC,1389050,AROC,4922,107003,NYSE,04/11/2015,31/12/9998
ARQL,1019695,ArQule Inc,2834,106002,NASDAQ,16/10/1996,16/01/2020
ARR,1428205,ARMOUR Residential REIT Inc,6798,109001,NYSE,03/12/2007,31/12/9998
ARRS,1645494,ARRIS GROUP DL01,3663,101005,NASDAQ,17/09/1993,04/04/2019
ARRY,1100412,Array Biopharma Inc,2834,106002,NASDAQ,30/11/2000,30/07/2019
ARS,202890,Aleris International Inc,9999,999999,NASDAQ,19/12/2006,29/12/2006
ARTX,916529,Arotech Corp,3690,100001,NASDAQ,24/02/1994,19/12/2019
ARW,7536,Arrow Electronics Inc,5065,101001,NYSE,19/07/1984,31/12/9998
ARWR,879407,Arrowhead Research Corp,2834,106002,NASDAQ,06/01/1997,31/12/9998
ASB,7789,Associated BancCorp,6022,104002,NYSE,07/09/1984,31/12/9998
ASCMA,1437106,Ascent Capital Group Inc Series A Common Stock,7380,100007,NASDAQ,18/09/2008,30/08/2019
ASGN,890564,On Assignment,7363,100011,NYSE,23/09/1992,31/12/9998
ASH,1674862,Ashland Inc,5160,110001,NYSE,06/04/1983,31/12/9998
ASIX,1673985,AdvanSix Inc,2821,999999,NYSE,03/10/2016,31/12/9998
ASMB,1426800,Assembly Biosciences Inc,2834,999999,NASDAQ,17/12/2010,31/12/9998
ASNA,1498301,NVS,5600,103002,NVS,01/01/1900,01/01/1900
ASNB,1011060,NVS,3841,999999,NVS,01/01/1900,01/01/1900
ASPN,1145986,Aspen Aerogels Inc,5030,110005,NYSE,13/06/2014,31/12/9998
ASPS,1462418,Altisource Portfolio Solutions SA,7380,999999,NASDAQ,06/08/2009,31/12/9998
ASPU,1487198,Aspen Group Inc,8200,102006,NASDAQ,26/11/2012,31/12/9998
ASRT,1005201,Assertio Therapeutics Inc,2834,999999,NASDAQ,17/12/2003,31/12/9998
ASTC,1001907,Astrotech Corp,3826,100008,NASDAQ,21/12/1995,31/12/9998
ASTE,792987,Astec Industries Inc,3531,999999,NASDAQ,19/06/1986,31/12/9998
ATGE,730464,Adtalem Global Education Inc,8200,999999,NYSE,28/06/1991,31/12/9998
ATHN,1131096,athenahealth Inc,7389,101003,NASDAQ,20/09/2007,11/02/2019
ATI,1018963,Allegheny Technologies Inc,3317,100001,NYSE,29/11/1999,31/12/9998
ATKR,1666138,Atkore International Group,3690,100001,NYSE,10/06/2016,31/12/9998
ATNI,879585,ATN International Inc,4813,108001,NASDAQ,14/11/1991,31/12/9998
ATNX,1300699,Athenex Inc,2834,106002,NASDAQ,14/06/2017,31/12/9998
ATO,731802,Atmos Energy Corp,4924,105001,NYSE,28/12/1983,31/12/9998
ATR,896622,AptarGroup Inc,3089,103018,NYSE,23/04/1993,31/12/9998
ATRA,1604464,Atara Biotherapeutics Inc,2836,999999,NASDAQ,16/10/2014,31/12/9998
ATRC,1323885,AtriCure Inc,3841,999999,NASDAQ,05/08/2005,31/12/9998
ATRI,701288,ATRION Corp,3841,999999,NASDAQ,07/09/1984,31/12/9998
ATRO,8063,Astronics Corp,3728,100008,NASDAQ,07/09/1984,31/12/9998
ATSG,894081,Air Transport Services Group Inc,4513,999999,NASDAQ,23/07/2003,31/12/9998
ATUS,1702780,Altice USA Inc Class A,4841,103001,NYSE,22/06/2017,31/12/9998
ATVI,718877,Activision Blizzard Inc,7372,101003,NASDAQ,25/10/1993,31/12/9998
ATW,8411,Atwood Oceanics Inc,1381,107006,NYSE,07/09/1984,19/10/2017
AUB,883948,Atlantic Union Bankshares Corp,6022,104002,NASDAQ,18/08/1995,31/12/9998
AVA,104918,Avista Corp,4931,105001,NYSE,16/11/1987,31/12/9998
AVAV,1368622,AeroVironment Inc,3721,100008,NASDAQ,23/01/2007,31/12/9998
AVB,915912,AvalonBay Communities Inc,6798,109001,NYSE,11/03/1994,31/12/9998
AVEO,1325879,AVEO Pharmaceuticals Inc,2834,106002,NASDAQ,12/03/2010,31/12/9998
AVGO,1730168,Avago Technologies Ltd,3674,101004,NASDAQ,06/08/2009,31/12/9998
AVGO_old,1649338,NVS,9999,101004,NVS,01/01/1900,01/01/1900
AVGR,1506928,Avinger Inc,3841,106004,NASDAQ,30/01/2015,31/12/9998
AVLR,1348036,Avalara,7372,999999,NYSE,15/06/2018,31/12/9998
AVNS,1606498,Avanos Medical Inc,3842,999999,NYSE,21/10/2014,31/12/9998
AVNW,1377789,Aviat Networks Inc,3663,101005,NASDAQ,07/02/1991,31/12/9998
AVP,8868,Avon Products Inc,2844,102002,NYSE,01/06/1972,03/01/2020
AVT,8858,Avnet Inc,5065,101001,NASDAQ,03/05/1973,31/12/9998
AVX,859163,AVX Corp,3670,999999,NYSE,15/08/1995,27/03/2020
AVXS,1652923,AveXis Inc,2836,999999,NASDAQ,11/02/2016,15/05/2018
AVY,8818,Avery Dennison Corp,2670,100001,NYSE,29/12/1983,31/12/9998
AVYA,1418100,Avaya Holdings Corp,3661,999999,NYSE,19/12/2017,31/12/9998
AWI,7431,Armstrong World Industries Inc,3089,110005,NYSE,18/10/2006,31/12/9998
AWK,1410636,American Water Works Company Inc,4941,105001,NYSE,23/04/2008,31/12/9998
AWR,1056903,American States Water Company,4941,999999,NYSE,26/03/1990,31/12/9998
AWRE,1015739,Aware Inc,7372,101003,NASDAQ,19/11/1996,31/12/9998
AWX,1061069,Avalon Holdings Corp,4953,100004,NYSE,23/06/1998,31/12/9998
AXDX,727207,Accelerate Diagnostics Inc,3826,999999,NASDAQ,19/11/1996,31/12/9998
AXE,52795,Anixter International Inc,5063,101001,NYSE,19/07/1984,31/12/9998
AXGN,805928,Axogen Inc,3845,106004,NASDAQ,27/03/1990,31/12/9998
AXL,1062231,American Axle Manufact Holdings Inc,3714,103005,NYSE,29/01/1999,31/12/9998
AXON,9000014,NVS,9999,106002,NVS,01/01/1900,01/01/1900
AXP,4962,American Express Company AMEX,6199,104007,NYSE,01/06/1972,31/12/9998
AXS,1214816,Axis Capital Holdings Ltd,6331,104006,NYSE,01/07/2003,31/12/9998
AXTA,1616862,Axalta Coating Systems Ltd,2851,110001,NYSE,12/11/2014,31/12/9998
AXTI,1051627,AXT Inc,3674,101004,NASDAQ,21/05/1998,31/12/9998
AYI,1144215,Acuity Brands Inc,3640,101001,NYSE,03/12/2001,31/12/9998
AYR,1362988,Aircastle LTD,7359,100007,NYSE,08/08/2006,27/03/2020
AYX,1689923,Alteryx Inc Class A,7372,101003,NYSE,24/03/2017,31/12/9998
AZO,866787,AutoZone Inc,5531,103002,NYSE,02/04/1991,31/12/9998
AZPN,929940,Aspen Technology Inc,7371,101003,NASDAQ,26/10/1994,31/12/9998
AZZ,8947,AZZ Inc,3640,100001,NYSE,07/09/1984,31/12/9998
B,9984,Barnes Group Inc,3490,999999,NYSE,07/09/1984,31/12/9998
BA,12927,The Boeing Company,3721,100008,NYSE,02/01/1962,31/12/9998
BABY,878526,NVS,9999,106004,NVS,01/01/1900,01/01/1900
BAC,70858,Bank of America Corp,6021,104002,NYSE,29/05/1986,31/12/9998
BAH,1443646,Booz Allen Hamilton Holding Corp,8742,100002,NYSE,18/11/2010,31/12/9998
BANC,1169770,Banc of California Inc,6021,104002,NYSE,01/10/2002,31/12/9998
BAND,1514416,Bandwidth Inc,7372,999999,NASDAQ,10/11/2017,31/12/9998
BANF,760498,Bancfirst Corp,6021,104002,NASDAQ,26/03/1990,31/12/9998
BANR,946673,Banner Corp,6022,104002,NASDAQ,01/11/1995,31/12/9998
BAX,10456,Baxter International Inc,3841,106003,NYSE,27/10/1981,31/12/9998
BBBY,886158,Bed Bath Beyond Inc,5700,103002,NASDAQ,05/06/1992,31/12/9998
BBGI,1099160,Beasley Broadcast Group Inc Class A,4832,103001,NASDAQ,11/02/2000,31/12/9998
BBRG,1495479,Bravo Brio Restaurant Group Inc,5812,103003,NASDAQ,21/10/2010,25/05/2018
BBSI,902791,Barrett Business Services Inc,7363,100011,NASDAQ,14/06/1993,31/12/9998
BBT,92230,BB&T CORP,6021,104002,NYSE,26/03/1990,06/12/2019
BBY,764478,Best Buy Company. Inc,5731,103002,NYSE,19/04/1985,31/12/9998
BC,14930,Brunswick Corp,3510,103015,NYSE,31/12/1981,31/12/9998
BCC,1328581,Boise Cascade Company,5030,999999,NYSE,06/02/2013,31/12/9998
BCEI,1509589,Bonanza Creek Energy Inc,1311,999999,NYSE,15/12/2011,31/12/9998
BCO,78890,Brinks Company,4731,100007,NYSE,03/01/1996,31/12/9998
BCOR,1068875,Blucora Inc,7374,104001,NASDAQ,15/12/1998,31/12/9998
BCPC,9326,Balchem Corp,2800,110001,NASDAQ,03/06/1986,31/12/9998
BCR,9892,C.R. Bard Inc,3841,106003,NYSE,06/04/1983,29/12/2017
BDC,913142,Belden Inc,3357,999999,NYSE,24/11/1993,31/12/9998
BDN,790816,Brandywine Realty Trust,6798,109001,NYSE,24/07/1986,31/12/9998
BDX,10795,Becton Dickinson and Company,3841,106003,NYSE,06/04/1983,31/12/9998
BEAT,1574774,BioTelemetry Inc,8093,999999,NASDAQ,19/03/2008,31/12/9998
BEAV,861361,BE Aerospace Inc,3728,999999,NASDAQ,25/04/1990,21/04/2017
BECN,1124941,Beacon Roofing Supply Inc Class A,5030,999999,NASDAQ,23/09/2004,31/12/9998
BEL,1115836,Belmond Ltd,7011,103015,NYSE,03/08/2000,17/04/2019
