,ticker,last_date_in_db,last_date_retrieved,records_retrieved,records_updated,status,loop_time,capture_date
1117,VNO,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
1118,VNOM,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
1119,VOYA,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1120,VRSK,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1121,VRTX,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1122,VSAT,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1123,VSH,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1124,VST,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1125,VTR,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1126,VZ,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1127,WAB,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1128,WAFD,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1129,WAL,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1130,WBD,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1131,WBS,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
1132,WCC,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1133,WCN,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1134,WDAY,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1135,WDC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1136,WEC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1137,WELL,2023-11-30,2024-01-12,62,20,succesful_update,0.99,2024-01-15
1138,WERN,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
1139,WES,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1140,WEX,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
1141,WFC,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1142,WH,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
1143,WHR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
1144,WLK,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
1145,WLTW,2021-12-03,1980-12-31,0,0,failed_no_data,0.84,2024-01-15
1146,WM,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
